"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","FF","FA","F+/-","FF%","FF/60","FA/60","SF","SA","S+/-","SF%","SF/60","SA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","PENT/60","PEND/60","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO"
"WAS","08-09","82","3660.33","3793","3110","683","54.95","62.17","50.98","2772","2297","475","54.69","45.44","37.65","1997","1684","313","54.25","32.73","27.6","151","136","15","52.61","2.48","2.23","153.87","128.73","25.14","54.45","2.52","2.11","337","310","-27","5.52","5.08","7.56","91.92","5.45","94.08","5.55","94.4","-0.1","-0.32","99.49","99.95","-0.46"
"VAN","08-09","81","3536.45","2951","3019","-68","49.43","50.07","51.22","2242","2331","-89","49.03","38.04","39.55","1615","1661","-46","49.3","27.4","28.18","149","115","34","56.44","2.53","1.95","126.11","126.15","-0.04","49.99","2.14","2.14","385","392","7","6.53","6.65","9.23","93.08","6.65","95.07","5.62","94.59","1.02","0.48","102.3","100.21","2.09"
"TOR","08-09","81","3705.77","3577","3542","35","50.25","57.92","57.35","2678","2623","55","50.52","43.36","42.47","1874","1797","77","51.05","30.34","29.1","155","176","-21","46.83","2.51","2.85","143.21","148.1","-4.89","49.16","2.32","2.4","334","347","13","5.41","5.62","8.27","90.21","5.79","93.29","5.35","94.35","0.44","-1.06","98.48","99.7","-1.22"
"TBL","08-09","82","3581.3","2957","3243","-286","47.69","49.54","54.33","2248","2467","-219","47.68","37.66","41.33","1666","1826","-160","47.71","27.91","30.59","128","144","-16","47.06","2.14","2.41","119.75","128.15","-8.41","48.3","2.01","2.15","380","322","-58","6.37","5.39","7.68","92.11","5.69","94.16","5.33","94.81","0.37","-0.64","99.8","100.13","-0.34"
"STL","08-09","82","3611.33","2899","3147","-248","47.95","48.17","52.29","2294","2369","-75","49.2","38.11","39.36","1620","1669","-49","49.26","26.92","27.73","130","138","-8","48.51","2.16","2.29","120.99","123.76","-2.77","49.43","2.01","2.06","371","364","-7","6.16","6.05","8.02","91.73","5.67","94.17","5.27","94.78","0.39","-0.6","99.76","100.05","-0.29"
"SJS","08-09","82","3740.73","3469","2928","541","54.23","55.64","46.96","2658","2203","455","54.68","42.63","35.34","1944","1610","334","54.7","31.18","25.82","131","122","9","51.78","2.1","1.96","157.63","121.34","36.28","56.5","2.53","1.95","311","351","40","4.99","5.63","6.74","92.42","4.93","94.46","5.93","94.49","-1","-0.03","99.16","100.42","-1.26"
"PIT","08-09","82","3618.58","3120","3363","-243","48.13","51.73","55.76","2334","2428","-94","49.01","38.7","40.26","1681","1762","-81","48.82","27.87","29.22","164","134","30","55.03","2.72","2.22","122.84","124.43","-1.59","49.68","2.04","2.06","355","362","7","5.89","6","9.76","92.4","7.03","94.48","5.26","94.88","1.76","-0.39","102.15","100.14","2.01"
"PHI","08-09","82","3596.58","3198","3526","-328","47.56","53.35","58.82","2415","2589","-174","48.26","40.29","43.19","1778","1884","-106","48.55","29.66","31.43","152","152","--","50","2.54","2.54","132.19","143.32","-11.13","47.98","2.21","2.39","425","366","-59","7.09","6.11","8.55","91.93","6.29","94.13","5.47","94.46","0.82","-0.34","100.48","99.94","0.54"
"OTT","08-09","82","3665.18","3084","3186","-102","49.19","50.49","52.16","2312","2360","-48","49.49","37.85","38.63","1695","1712","-17","49.75","27.75","28.03","125","141","-16","46.99","2.05","2.31","127.83","130.25","-2.43","49.53","2.09","2.13","344","346","2","5.63","5.66","7.37","91.76","5.41","94.03","5.53","94.48","-0.12","-0.46","99.14","100.01","-0.87"
"NYR","08-09","82","3622.17","3518","3161","357","52.67","58.27","52.36","2661","2427","234","52.3","44.08","40.2","1914","1746","168","52.3","31.7","28.92","124","139","-15","47.15","2.05","2.3","158.97","147.02","11.95","51.95","2.63","2.44","347","355","8","5.75","5.88","6.48","92.04","4.66","94.27","5.97","93.94","-1.31","0.33","98.52","99.92","-1.4"
